類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AC21	A0010	富邦投信	31946404B	富邦中國債券傘型基金之富邦中國優質債券人民幣計價基金-B類型	CNY	10.0041	10.0027	0.0014
AC23	A0010	富邦投信	31946426A	富邦中國債券傘型基金之富邦中國高收益債券人民幣計價基金-A類型	CNY	10.0033	10.0019	0.0014
AC23	A0010	富邦投信	31946426B	富邦中國債券傘型基金之富邦中國高收益債券人民幣計價基金-B類型	CNY	10.0033	10.0019	0.0014
AH1	A0010	富邦投信	48790067	富邦台灣科技指數基金	TWD	34.5	33.86	0.64
AA2	A0010	富邦投信	48908684	富邦大中華成長基金	TWD	4.32	4.26	0.06
AH1	A0010	富邦投信	48975156	富邦台灣ETF傘型基金之富邦台灣摩根指數股票型基金	TWD	33.02	32.48	0.54
AH1	A0010	富邦投信	48975162	富邦台灣ETF傘型基金之富邦台灣金融指數股票型基金	TWD	26.77	26.54	0.23
AH1	A0010	富邦投信	48977083	富邦台灣ETF傘型基金之富邦台灣發達指數股票型基金	TWD	32.13	31.59	0.54
AA1	A0010	富邦投信	81585475	富邦高成長基金	TWD	15.94	15.6	0.34
AA1	A0010	富邦投信	83864683	富邦科技基金	TWD	17.28	17.15	0.13
AA1	A0010	富邦投信	92002384	富邦精準基金	TWD	39.65	39.33	0.32
AA1	A0010	富邦投信	92010477	富邦長紅基金	TWD	43.31	42.73	0.58
AA1	A0010	富邦投信	92010770	富邦台灣鳳凰基金	TWD	557.96	545.34	12.62
AA1	A0010	富邦投信	97974078	富邦冠軍基金	TWD	22.32	22.04	0.28
AD1	A0010	富邦投信	97980579	富邦吉祥貨幣市場基金	TWD	15.2962	15.2959	0.0003
AG	A0010	富邦投信	99991502	富邦全球不動產基金	TWD	7.47	7.5	-0.03
AA1	A0011	摩根投信	00974039	摩根台灣基金	TWD	9.4	9.24	0.16
AA1	A0011	摩根投信	01032162	摩根台灣增長基金	TWD	35.06	34.47	0.59
AA2	A0011	摩根投信	10313109	摩根東方內需機會基金	TWD	11.26	11.17	0.09
AA2	A0011	摩根投信	10348445	摩根金龍收成基金	TWD	13.68	13.46	0.22
AB2	A0011	摩根投信	10348450	摩根神龍平衡基金	TWD	11.76	11.69	0.07
AA1	A0011	摩根投信	17144945	摩根價值成長基金	TWD	13.68	13.44	0.24
